2015-12-10 10:33:28,988 DEBUG [java.sql.Connection] - {conn-100000} Connection
2015-12-10 10:33:28,996 DEBUG [java.sql.Connection] - {conn-100000} Preparing Statement:    select      cd.ID,   cd.NAME,   cd.CODE,   cd.VALUE,   cd.GROUP_NAME,   cd.PARENT_ID,   cd.ORDERING,   cd.MEMO,   cd.OPERATOR,   cd.GMT_CREATE,   cd.GMT_MODIFY     from COMM_DATADIC cd   order by cd.GROUP_NAME, cd.PARENT_ID, cd.ORDERING,   cd.GMT_CREATE  
2015-12-10 10:33:29,055 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Executing Statement:    select      cd.ID,   cd.NAME,   cd.CODE,   cd.VALUE,   cd.GROUP_NAME,   cd.PARENT_ID,   cd.ORDERING,   cd.MEMO,   cd.OPERATOR,   cd.GMT_CREATE,   cd.GMT_MODIFY     from COMM_DATADIC cd   order by cd.GROUP_NAME, cd.PARENT_ID, cd.ORDERING,   cd.GMT_CREATE  
2015-12-10 10:33:29,056 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Parameters: []
2015-12-10 10:33:29,056 DEBUG [java.sql.PreparedStatement] - {pstm-100001} Types: []
2015-12-10 10:33:29,106 DEBUG [java.sql.ResultSet] - {rset-100002} ResultSet
2015-12-10 10:33:29,136 DEBUG [java.sql.ResultSet] - {rset-100002} Header: [ID, NAME, CODE, VALUE, GROUP_NAME, PARENT_ID, ORDERING, MEMO, OPERATOR, GMT_CREATE, GMT_MODIFY]
2015-12-10 10:33:29,178 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10140, 济南, null, 900, city, 10139, 1, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,178 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10141, 滨州, null, 901, city, 10139, 2, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,178 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10142, 德州, null, 902, city, 10139, 3, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,179 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10143, 东营, null, 903, city, 10139, 4, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,179 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10144, 菏泽, null, 904, city, 10139, 5, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,180 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10145, 济宁, null, 905, city, 10139, 6, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,180 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10146, 莱芜, null, 906, city, 10139, 7, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,181 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10147, 聊城, null, 907, city, 10139, 8, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,181 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10148, 临沂, null, 908, city, 10139, 9, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
2015-12-10 10:33:29,181 DEBUG [java.sql.ResultSet] - {rset-100002} Result: [10149, 青岛, null, 909, city, 10139, 10, null, admin, 2015-04-14 14:01:35.0, 2015-04-14 14:01:35.0]
